text,selected_text,sentiment
june go long lone month,lone,negative
im still pj haveto get dress cuz im go see danc ice live,im still pj haveto get dress cuz im go see danc ice live,neutral
last full day even day class littl sad,last full day even day class littl sad,negative
g night,g night,neutral
pick coupl toy tonight mm f yay weekend though,yay,positive
wassup bad day good,bad day good,negative
work hour saturday sunday atleast phone keep compani,work hour saturday sunday atleast phone keep compani,neutral
fab broke,fab broke,negative
graduat sunday june th,graduat sunday june th,neutral
_x haha sound like lizzi l got sister older like argh time,argh,negative
looooov star trek run famili,looooov,positive
oh yah dad landlin,oh yah,positive
birthday breakfast yummm chai appl fritter,yummm,positive
sooo long twitter cuba,sooo long twitter cuba,neutral
expecto patronum noth happen,noth happen,neutral
eeee hiya spoken age enorm hug,eeee hiya spoken age enorm hug,neutral
_cupcak busi wowsa okay pizza gon na sorri,sorri,negative
sound good appreci suggest week still offlin time ask refund,good,positive
wine drink plenti forbidden choloc,wine drink plenti forbidden choloc,neutral
know alreadi week behind ff tri get one done today call work hr earli due problem busi day,problem,negative
let first,let first,neutral
dont know tire today bye time beddi,dont know tire today bye,negative
beer pong jess,beer pong jess,neutral
saw babi blue regal word slab written huge letter side hahaaaa,saw babi blue regal word slab written huge letter side hahaaaa,neutral
cute time twitpic,cute,positive
woo nacho ice cream haha,woo nacho ice cream haha,neutral
dj littl tune want,dj littl tune want,neutral
milan retardeddddddd anyon wan na see paint pic,milan retardeddddddd anyon wan na see paint pic,neutral
still hospit unexpect complic,still hospit unexpect complic,neutral
bad luck oh well next time lucki,bad luck oh well next time lucki,neutral
_roy tell facebook minu everyth statu updat,_roy tell facebook minu everyth statu updat,neutral
thank tri behav,thank tri behav,positive
hey honey bear goooooooo puhleeezee,hey honey bear goooooooo puhleeezee,neutral
woke hope go see xmen film today,woke hope go see xmen film today,neutral
head beaumont,head beaumont,neutral
happi mother day love mommi,happi,positive
morn earli travel today game reli happi bro come watch x,happi,positive
tooth bloodi kill sure wait next week get fix,tooth bloodi kill sure wait next week get fix,neutral
mac user complet given googl chrome,mac user complet given googl chrome,neutral
go sleep babi,go sleep babi,neutral
thank follow,thank follow,positive
font huge small font rock sock,font huge small font rock sock,neutral
love babi,love,positive
would know pack make poor lauren,make poor,negative
anymor exam day left reliz bad thing good thing dont know,reliz bad thing good thing dont know,neutral
almost lunch time,almost lunch time,neutral
bill absolut fantast programm love cow bell bit toward end,absolut fantast,positive
repli gorgeou hot pink shoe,gorgeou,positive
wish sluttin w waaaaaaaaahhhh,wish,positive
sure miss chick tho may rip,miss,negative
one watch justin timberlak snl greattttt hilari,greattttt,positive
listen music friend,listen music friend,neutral
_ oh god watch clair escap realli quit sad,realli quit sad,negative
nice night bed time work tomorrow,nice,positive
hate cancer hate hate hate,hate cancer hate hate hate,negative
haha def __ rob bank could get swedish fish world,haha def __ rob bank could get swedish fish world,neutral
got back ahem meal bore eat nonetheless,bore eat nonetheless,negative
repli would make life repli usual peopl call tell willblok,repli would make life repli usual peopl call tell willblok,negative
pleas,pleas,positive
andrew idea rest think ben princeton could fun lol go late,fun,positive
first ye frank zappa,first ye frank zappa,neutral
know feel work much suck hardcor need hang soon,ch suck hardcor,negative
feel well,feel well,negative
everi time rain see least ambul,everi time rain see least ambul,negative
lovin clean shaven mr flower look young remind get old,lovin clean shaven mr flower look young,positive
hate get put steroid face,hate get put steroid,negative
cool actual believ begun jail sentenc arkansa,cool,positive
saw new star trek movi day strongli recommend,strongli recommend,positive
yeah closer secret stumbl,yeah closer secret stumbl,neutral
need write realli bad someon go get diari flat,bad,negative
sure would know,sure would know,neutral
come chile ac dc would fine,come chile ac dc would fine,neutral
good morn welcom new follow,ood morn welcom new,positive
lie bed favorit girl world happi mommi day,lie bed favorit girl world happi mommi day,positive
ugh boom boom pow stuck head hate song,hate song,negative
exactli silent treatment great tortur method,silent treatment great tortur method,negative
farm best ride get,farm best ride get,neutral
feelin depress miss soo fcking much besti wish wouldnt left yt,depress,negative
prows got christma card last year wish money right save apart,prows got christma card last year wish money right save apart,neutral
would look forward see tonight go,look forward see,positive
everyth near sg point sana hindi sa jurong east ang offic ni,everyth near sg point sana hindi sa jurong east ang offic ni,neutral
super happi new interest rate whoop whoop,super happi,positive
use extern track ball laptop seem excess total effici,total effici,positive
im loner haha suckss,suckss,negative
badbook know bother,bother,negative
slow get tix,slow,negative
blog mention link contest might win free book two,blog mention link contest might win free book two,neutral
yeah told stanley time want slap girl icki encorag bad behavior,slap,negative
total waitin somethin new thought provok mj name,thought provok,positive
tummi hurt,hurt,negative
way mani peopl cri school picnic decid want go back go public confus sad,confus sad,negative
that week away im sure got tweet night,that week away im sure got tweet night,neutral
bit excit u bradi lol,excit,positive
mostley yellow green,mostley yellow green,neutral
bum didnt get see manchest orchestra bc sold spent night buy tv show itun lame,lame,negative
back miami miss south beach,miss,negative
first sport banquet without kati,first sport banquet without kati,neutral
yay thank feel like ur yell us lol,yay thank feel like ur yell us lo,neutral
nice meet best bring along,nice,positive
lol true keep eye arent tech savvi alright thu far,lol true keep eye arent tech savvi alright thu far,neutral
well sound delici lay patio tom san pool enjoy burger,delici,positive
dinner yummi still super tire thing went enrol colleg,dinner yummi still super tire thing went enrol colleg,neutral
figur strong guy suppos put heavi thing top shelv ouch,ouch,negative
saw ucla bookstor convinc everi singl major univers better bookstor fun far,better,positive
_crazyangel oh noooo get,oh noooo get,negative
rain,rain,neutral
haha yeah meant mall wink back,wink back,positive
day tomorrow carla come school,day tomorrow carla come school,neutral
welcom new follow thank love tweet,thank lov,positive
love u love mr player come visit miss u girl,love,positive
aw breezi good thing sold blanket,aw breezi good thing sold blanket,neutral
miss concert tuesday alreadi realli like time machin go see fun,miss concert tuesday alreadi realli like time machin go see fun,neutral
need dye hair see slight hint ginger,need dye hair see slight hint ginger,neutral
_world lol poor cubbi brewer roll ranger lost leaf,_world lol poor cubbi brewer roll ranger lost leaf,neutral
like morn sometim know exactli best def figur happi mom day,like morn sometim know exactli best def figur happi mom day,neutral
home get readi back work monday matern leav,home get readi back work monday matern leav,neutral
hi serena want say good luck madrid pari month,good luck,positive
got one usb key without fanci packag,got one usb key without fanci packag,neutral
yeah pass last week sad,yeah pass last week sad,negative
lol sun hide he lie how,sun hide he lie how,neutral
knw maan gon na say thing would becom omelett other would becom chapathi,knw maan gon na say thing would becom omelett other would becom chapathi,neutral
want wish mom happi mother day,happi mother day,positive
thank tweet,thank tweet,positive
_beanz sorri hear tina,sorri,negative
want im c say wan na make except,want im c say wan na make except,neutral
hey thing weekend kiddo got ta love ikea,got ta love ikea,positive
indo girl thai tradit cloth object tourist wat arun,indo girl thai tradit cloth object tourist wat arun,neutral
whoa alcohol get buzz price,whoa alcohol get buzz price,negative
sleep suck one day sleep get go shop mom ugh,suck,negative
plan take flight go tonight sink hudson sinc work morn stupid bird strike,stupid bird strike,negative
mom car broken feel violat,feel violat,negative
twa good show even like ciara last song time go bed g night,good,positive
ugh infam xbox lame ps,lame,negative
great stuff wait hear,great,positive
hommmmmm good day,good day,positive
spent day bridget small thing got wind fart lot oh yeah babi slightli broodi,spent day bridget small thing got wind fart lot oh yeah babi slightli broodi,neutral
made leadership buttt still happi enjoy without best friend,happi,negative
hi mel feel unhappi take bit fri overdo help,unhappi,negative
haha cours favorit album time,favorit album time,positive
im upset u us weekli uncl work appar didnt know big fan,im upset u us weekli uncl work appar didnt know big fan,neutral
anyon dreamwidth spare invit code lie around could pleas spare one pretti pleas,anyon dreamwidth spare invit code lie around could pleas spare one pretti pleas,neutral
meant mama,meant mama,neutral
never seen wall e confus idea guy talk hehe though,never seen wall e confus idea guy talk hehe though,neutral
hey round round next week,hey round round next week,neutral
woke walk room bug flew eye,woke walk room bug flew eye,neutral
want work tomorrow feel good felt good day bodi need rest mind slow,feel good felt good day,negative
look forward lsat,look forward lsat,neutral
enjoy great sunshin indoor feel good today,enjoy great sunshin indoor feel good today,neutral
stupid msn wont sign,stupid msn wont sign,negative
gutter rubi got elimin nzntm support local haha hosanna better win,gutter rubi got elimin nzntm support local haha hosanna better win,neutral
mommi gummi mother day posterrr,mommi gummi mother day posterrr,neutral
one favorit quot ever,favorit,positive
give year old golden retriev away anoth famili today sad,sad,negative
go girl start day right got ta love,love,positive
say leav yesterday see hous anymor get back tear tear,say leav yesterday see hous anymor get back tear tear,neutral
thank well wish hope ur day also quit success,hope ur day also quit success,positive
updat latest version adium great app,great,positive
happi juddday everybodi,happi,positive
sit outsid laptop kinda nice,kinda nice,positive
_lia grab way work,grab way work,neutral
home work need continu pack raera gone weekend mya hang,home work need continu pack raera gone weekend mya hang,neutral
speechless,speechless,neutral
ooh know hold hand,ooh know hold hand,neutral
go post offic tri sort whole ebay hacker thing,whole ebay hacker th,negative
thought u go tummi suppos feel better wors,thought u go tummi suppos feel better wors,neutral
squar b sad well squar crochet bee poli fibe,sad,negative
get pedicur love massag includ leg arm foot massag today,get pedicur love massag includ leg arm foot massag today,neutral
brain hurt,hurt,negative
good night fellow twitterati back work tomorrow,good night,positive
awak hour ago check twitter,awak hour ago check twitter,neutral
want wish everyond happi mother day hope great one,wish everyond happi mother day hope great one,positive
dagnamit latest power twitter updat pant clickabl link,dagnamit latest power twitter updat pant clickabl link,neutral
smash pinki julia car door life,life,negative
new neighbor move give brazil present shouldv given wed peopl went overtim,new neighbor move give brazil present shouldv given wed peopl went overtim,neutral
chill home,chill home,positive
work,work,neutral
clearli busi take care sure fine take one know one,nd sure fine,positive
went di bella coffe roaster today ask job person need speak holiday fb,went di bella coffe roaster today ask job person need speak holiday f,neutral
trail street sheffield find pub number landlin goe,trail street sheffield find pub number landlin goe,neutral
dedic next hour clean hous,dedic next hour clean hous,neutral
sunday mother day,sunday mother day,neutral
translat xmind languag,translat xmind languag,neutral
happi mother day,happi mother day,positive
happi mothersday btw look bright side chill day today,happi mothersday btw look bright side chill day today,positive
bore vector work class,bore,negative
fever dont feel work,fever dont feel work,negative
finish work,finish work,neutral
redirect updat post websit massag dk next item publish next item pulish,redirect updat post websit massag dk next item publish next item pulish,neutral
busi even get talk pleas tell got lipstick,busi even get talk,neutral
call ripstick job sold lot,call ripstick job sold lot,neutral
sorri hear,sorri hear,negative
hey boy wan na see teeth twitter donï ½t wan na chang pictur,hey boy wan na see teeth,neutral
hug sad realli mess,sad,negative
sun chang default icon plan,sun chang default icon plan,neutral
password san diego show mine work,password san diego show mine work,neutral
finish watch movi mirror like realli didnt anyth ten give cool,like,positive
_haze aww sorri ray wise appear show yet watch everyday except friday best aot,_haze aww sorri ray wise appear show yet watch everyday except friday best aot,neutral
looov guitar play think sound magnific better,looov guitar play think sound magnific,positive
poor littl mba fire,poor littl mba,negative
g mornin,g mornin,positive
mind automat wake huge fail summer good morn nonetheless gon na get readi work,huge fail summer,negative
got ta assign tomorrow omg mackillop swine,omg mackillop swine,negative
_bhb went concert rememb derek mark host miss see bhb grove,miss se,negative
hectiv runni around women goof make surpris,hectiv runni around women goof make surpris,neutral
monday mornin back work today good thing live job,good thing live job,positive
throat reallyyyyi sore bare talk,sore,negative
new colleg project want share hey mr bartend colleg project,new colleg project want share hey mr bartend colleg project,neutral
ugggh nice want work back dancer,ugggh nice want work back dancer,neutral
u tri taco n mac n chees pizza cravin right good food make sick,good food make sick,neutral
ping pong tomorrow,ping pong tomorrow,neutral
mum day end happi day anyth,end happi,positive
haha check site got good one,good,positive
sound like best sort work jenni seem love nice hear meet flesh,best,positive
gettin readi school new convers come today,gettin readi school new convers come today,neutral
babi drink god love,love,positive
sun burn today arm look angri parti tonight tho babe woop,sun burn,negative
_nicol wow lucki happi birthday,wow lucki,positive
vineri nimic special sau probabil un alt weekend pierdut,vineri nimic special sau probabil un alt weekend pierdut,neutral
western digit caviar black tb sata ncq mb way,western digit caviar black tb sata ncq mb way,neutral
make madelein need bake sale someth god boredom need someth bake,make madelein need bake sale someth god boredom need someth bake,neutral
want one wan na give one,want one wan na give one,neutral
ah help friend move defo well deserv pint sure,well deserv,positive
clamp haha,clamp haha,neutral
omg what dirti letter danni everyon absolut none busi still feel left lol,feel left lo,negative
ub bring cup,ub bring cup,neutral
wish gm stock would turn around cent share would will buy knew would someth,will,positive
thank like pleas leav comment subscrib chicago anoth great music thank support,er grea,positive
good _flora,good _flora,neutral
tv shite thank god youtub,tv shite thank god youtub,neutral
anych get matthew give shout mum sarah mother day saw ghost girlfriend past today,anych get matthew give shout mum sarah mother day saw ghost girlfriend past today,neutral
absolut,absolut,neutral
im well bore great half term dont wan na go back school monday enjoy hot weatler lo l,dont wan na go back school monday enjoy hot weatler lo l,neutral
likewis know anyon use gtalk like hold much hope,hold much hope,negative
back work migrain linger wait weekend,migrain linger,negative
gon na wear pink outfit assum bought,gon na wear pink outfit assum bought,neutral
go look refriger tast snack eat,tast snack eat,positive
treat mom like queen cuz,treat mom like queen,positive
wish hr nap let talk rachel get one lol,wish hr nap let talk rachel get one lol,neutral
cours come bois,come,negative
boss la vega th p p confer pfff,boss la vega th p p confer pfff,neutral
although drama move forward smile count bless everyday action speak volum sooo inspir,smile count bless everyday action speak volum sooo inspir,positive
far absolut perfect great view directli across elev ice machin impec weather need bike,perfect,positive
_rigbi well neck hurt move massag massag u lol,neck hurt move massag massag u lol,neutral
tweet often draw follow,tweet often draw follow,neutral
_trick good next month go awesom,good,positive
never happen orang blinki light think broke batteri,broke,negative
woke clean camera gear last night wed realli go back sleep kid awak,woke clean camera gear last night wed realli go back sleep kid awak,neutral
lol yea fondu point chocol lava cake realli want wont im mon fri babe,lol yea fondu point chocol lava cake realli want wont im mon fri babe,neutral
new phone sync comput need number,new phone sync comput need number,neutral
make sad follow someon convers similar bio follow back,sad,negative
keep fall asleep suppos awak miss babyy,miss,negative
love polaroid shame make film anymor,love polaroid shame make film anymor,neutral
im ac hous broke,im,negative
ye soak sure gon na fast n furiou one show year reason revel moment,reason revel,positive
great day apart fact bought usb hub soon plug broke tesco,great day apart fact bought usb hub soon plug broke tesco,neutral
ah rememb day sleep noon well guess today god feel like loser,loser,negative
waitin fall boy,waitin fall boy,neutral
new cd love,love,positive
weather outsid weather hahah made feel better,better,positive
got home sunshin coast,got home sunshin coast,neutral
headin home refresh mind soul justa lil bit bac realiti,refresh,positive
lock abroad make bein half brown good risk mgmt travelin rd world blend feel sorri hostag magnet white pepo,feel sorri,negative
_ youl ever,_ youl ever,neutral
heheheh oh love purat english sooo much,love purat english sooo much,positive
realli feelin well,feelin well,negative
hey danni u run alreadi hope good day love,hope good day love,positive
go,go,neutral
took advic enjoy small alon would come lol,took advic enjoy small alon would come lol,positive
hey,hey,neutral
pooof nirvana work,pooof nirvana work,neutral
got back babi sit went well,went well,positive
yeah go last month amaaaaz bring back,amaaaaz,positive
oh lot put desk year guess done would ok back lol,ck lol,positive
aw sad give ginger littl pat head mwah,aw sad,negative
might one accus guy one side issu get way way hand,way hand,negative
alredi chocol imposs resist,imposs resist,positive
feel nauseou sleep,nauseou,negative
super stress,super stress,negative
manag breath sinc get news,manag breath sinc get news,negative
ugh hate degre weather,hate,negative
oh hey look north korea go kill us least us,kill,negative
weirdest dream ever see owi credo brighi hate guy,weirdest dream ever see owi credo brighi hate guy,negative
happi birthday david,happi birthday david,positive
finish sunday clean wait read next chapter kiyosaki book hire cleaner,finish sunday clean wait read next chapter kiyosaki book hire cleaner,neutral
suse,suse,neutral
surround neg good thing fli guy give hope someth better thank u jesu,surround neg good thing fli guy give hope someth better thank u jesu,neutral
think mess back like day,mess,negative
pantri,pantri,neutral
commi finest youtub blogger block china updat us china great wall conquer,great,positive
awww meee haha gon na make saddd,awww meee haha gon na make saddd,neutral
_you ah haha excit ever come australia definit gon na movi night fyi,excit,positive
troubl think help wrist,troubl,negative
start new week ton new photo take edit yay,start new week ton new photo take edit yay,neutral
earli,earli,neutral
think may time lemsip soon cold realli suck,suck,negative
could extra ticket plu two twitter giveaway get next time,could extra ticket plu two twitter giveaway get next time,neutral
hangin fam head hurtin,head hurtin,negative
step show fantabul hi si group nd divis nd show overal whoo,fantabul,positive
that im make dinner yummi,yummi,positive
god open cloud said hate josh,hate josh,negative
sweet livin saturday night,sweet,positive
wish still jam,wish,positive
realli need mind busi eat disord reason peopl vomit asshol,realli need mind busi eat disord reason peopl vomit asshol,negative
go bed night,go bed night,neutral
girrrrrrrrlll go miss bad,girrrrrrrrlll go miss bad,negative
haha want anoth bagel blueberri cream chees left bagel,haha want anoth bagel blueberri cream chees left bagel,neutral
drop biscuit tea,drop biscuit tea,neutral
know make late night call india team member pictur struggl messag thank,struggl,negative
lotsa water alreadi dark,lotsa water alreadi dark,neutral
get rain devon hors show head desk,get rain devon hors show head desk,neutral
tini phd bigger keep taunt,tini phd bigger keep taunt,neutral
serious underr porridg best breakfast world ever need gloopi long made right,serious underr porridg best breakfast world ever need gloopi long made right,neutral
exact moment decid point life go adopt child,exact moment decid point life go adopt child,positive
sick daddi send prayer way,sick,negative
wow must sooo cool,wow,positive
_benson love macaramb,love,positive
sick sick sore throat flu,sick sick sore throat flu,negative
doin tell tell,doin tell tell,neutral
know statu venetian real man scream loud everyon laugh,know statu venetian real man scream loud everyon laugh,neutral
thanx peep follow,thanx,positive
_tina _adriii guy liter go sydney june juli hol meet wan na tri one lindt cafe,_tina _adriii guy liter go sydney june juli hol meet wan na tri one lindt cafe,neutral
know write anymor mind must tire past midnight alreadi tour philippin,tire,negative
gone shiggiti shwa back sunday,gone shiggiti shwa back sunday,neutral
got back bbq got sunburn leg well sore,well sore,negative
heir draft,heir draft,negative
hahahahah would chief contributor lol,hahahahah would chief contributor lol,neutral
often pay wait,often pay wait,neutral
imagin would say bitch lol haha im cuz ur cool,cuz ur cool,positive
go bro tonight brett,go bro tonight brett,neutral
seen u coupl time like,like,positive
feel realli sick puke gut help pleas,sick,negative
meet discuss colour bikesh,meet discuss colour bikesh,neutral
pour outsid clean locker bookbag heavi back arm kill,kill,negative
tri soo hard toget want alway end goos egg,hard,negative
fan certainli attract like pink canuck,fan certainli attract like pink canuck,neutral
vote hope vote white blank name mr twitter funniset,vote hope vote white blank name mr twitter funniset,positive
bow glad servic,glad,positive
whole time ton thing u would believ u listen let prove blve,u listen let prove,negative
finish book nudg go write,finish book nudg go write,neutral
one rub,one rub,neutral
ha ha much thank start follow,thank start follow,positive
ok offici old least feel likewis old tiredd wast,old tiredd wast,negative
wow ever notic twitter thousand follow yet follow hand actual less two hand peep,wow ever notic twitter thousand follow yet follow hand actual less two hand peep,neutral
ohyeahhh hate heat,ohyeahhh hate heat,negative
order new comput unfortun get end june,unfortun,negative
make smile get better believ,make smile,positive
work close file,work close file,neutral
expect one man band releas sometim next week,expect one man band releas sometim next week,neutral
realli ought pay attent phone tweet sure moiv better,better,positive
whoop got sunburnt,sunburnt,negative
perfect practic make perfect,perfect,positive
woke shop today birthday kinda,woke shop today birthday kinda,neutral
_thompson u may need pill think u crazi take mine,crazi,negative
head xs nadia yeee,yeee,positive
never tri ftp use fireftp firefox browser addin mention support site though,never tri ftp use fireftp firefox browser addin mention support site though,neutral
damnnn day came fast cherish moment,cherish moment,positive
dont care kind graphic engin video game nowaday noth compar oregon trail carmen sandiego,dont care kind graphic engin video game nowaday noth compar oregon trail carmen sandiego,neutral
hmmm think take back feel better morn think spoke earli,feel better morn,positive
dang need go cousin didnt upload video need later,dang need go cousin didnt upload video need later,neutral
hurt left knee somehow last night hurt walk,hurt left knee somehow last night hurt walk,negative
night talk victor bore night grrrr hate,grrrr hate,negative
selfupd clean rubi fix part fail rb rubygem,fail,negative
shop beckyyi go starbuck minut,shop beckyyi go starbuck minut,neutral
pug readi go devic updat feel free bombard time time actual get someth done,pug readi go devic updat feel free bombard time time actual get someth done,neutral
back gym checkin email gon na go watch old movi someth littl cool sit outsid read,back gym checkin email gon na go watch old movi someth littl cool sit outsid read,neutral
like new profil pic cute,cute,positive
__emilyy guy bomb haha,guy bomb haha,neutral
got back see star strek,got back see star strek,neutral
haha say two week pleas continu bre great,great,positive
lol tri take old man eh good heheh cute,good,positive
fun got retweet bot,fun,positive
bug code go forum reg let know work,bug code,negative
famili imna crash woke day row lol,crash,negative
thank,thank,positive
get addit free day,get addit free day,neutral
great day anoth one await,great day,positive
happi mother day hug,happi mother day,positive
miss iron chef,miss,negative
_cullen nice hear love best friend sister hug u,nice hear love best friend sister hug u,positive
hehe never thorw shoe listen varsiti fanclub surpris surpris sway sway babi awesom,hehe never thorw shoe listen varsiti fanclub surpris surpris sway sway babi awesom,positive
guy seriou question song like cd honest know repli maria,like,positive
nicee hey never get stickersss,nicee hey never get stickersss,neutral
revisingg,revisingg,neutral
hour find good star trek film j j realli ticket cost euro hope worth,hope worth,positive
man cant beliv everyth look good,everyth look good,negative
feel pound lighter,feel pound lighter,neutral
much work,much work,negative
holllaaa dont know ur im tri finish work school bout go bed though,holllaaa dont know ur im tri finish work school bout go bed though,neutral
yeeh also thing drummer basic guy play instrument sing im p,im,positive
crave someth salti mouth tire pretzel tho,tire,negative
yw get realli hot middl summer like right perfect less hour away,perfect,positive
inde live life edg thing one foot foul law,live life edg thing one foot foul law,negative
haha head bigger lol,haha head bigger lol,positive
minut im work guess go back work minut slow today thank god one day,thank god one day,positive
oh celebr ding dong age,oh,negative
bgt aw bless stomach sank first whimper good tri carri nice simon take charg,aw bless,positive
happi mother day motherssss,happi mother day motherssss,positive
pleas forget us,forget,negative
new toy,new toy,neutral
work drop line would love talk,love talk,positive
blast sale today one pair cord mi size tho still worth might come back tomorrow thankssss,blast,positive
damnit neither win,damnit neither win,neutral
say k ge last day job today wont say around anymor,say k ge last day job today wont say around anymor,neutral
wow offici life month lol friend dont believ say need book advanc,wow offici life month lol friend dont believ say need book advanc,neutral
final finish topic quick revis break far heath chang conserv parti,final finish topic quick revis break far heath chang conserv parti,neutral
flordia u send pictur shrit saw ur updat facebook,flordia u send pictur shrit saw ur updat facebook,neutral
good rememb twitter thing sorri everybodi leav tibet today head cold,sorri,negative
harley pass away decemb,harley pass away decemb,negative
sooooooooooooooooo need see u im bs real deadass lmao,sooooooooooooooooo need see u im bs real deadass lmao,neutral
got home want read last chaper break dawn caus dont want beover,got home want read last chaper break dawn caus dont want beover,neutral
great honey base recip kid download join fun honey week,great ho,positive
mmm btw talk gone,mmm btw talk gone,neutral
sadli bprohibit tweet tonight sorri,sorri,negative
sound good patch brought,sound good,positive
much better instant,much better instant,neutral
far sick sing got post nasal drip sore throat sent sorri email,sick,negative
fun twitpic purpl hair,fun,positive
know hhr,know h,neutral
still work databas tri decid want eat,still work databas tri decid want eat,neutral
make pork stir fri brown rice dinner,make pork stir fri brown rice dinner,neutral
oh men mood go home tomorrow wan na w famili birthday,mood,negative
last day dma million sad face,ion,negative
idea tempat apa yang pale cocok jupit seru juga,idea tempat apa yang pale cocok jupit seru juga,neutral
ye otherdad wait go back sleep caus mischief,ye otherdad wait go back sleep caus mischief,neutral
ouch wait long get eyebrow wax,ouch wait long,negative
work allll weeekend,work allll weeekend,neutral
_com ohhh got think miss piston realli hope joe cook someth big,_com ohhh got think miss piston realli hope joe cook someth big,neutral
didnt win continu tri keep give away fabul watch cant wait win,es cant wait win,positive
think may cri sold civic longer mine,may cri,negative
realis long sinc last tweet know say x,realis long sinc last tweet know say x,neutral
amaz time momma tomorrow show much mean whatev love,whatev love,negative
caww sound good hope right,good,positive
_mandm helaa en thank,thank,positive
one lactos pill enough coffe oops,one lactos pill enough coffe oops,neutral
tri dm follow us,follow us,negative
day till brighton,day till brighton,neutral
call custom care tri enter wrong pw see result invalid user name password,call custom care tri enter wrong pw see result invalid user name password,neutral
woohoo broom isnt standard seatbelt mine whisper like swiffer,woohoo broom isnt standard seatbelt mine whisper like swiffer,neutral
admit colin firth groupi point,admit colin firth groupi point,neutral
wassup beauti follow peep new hit singl def wat u video,wassup beauti follow peep new hit singl def wat u video,neutral
_of_the_dead met stranger min ago stalk store,_of_the_dead met stranger min ago stalk store,neutral
aw latest selenagomezlast day shoot goodby canada,aw latest selenagomezlast day shoot goodby canada,neutral
ha unfortunatelli norway big famili happen therefor need old hit,unfortunatelli,negative
take nearli day figur caus mic problem euruko hold mic bottom,take nearli day figur caus mic problem euruko hold mic bottom,neutral
even fat huh friggin huge freak,even fat huh friggin huge freak,neutral
rain miss rain much grate,rain miss rain much grate,neutral
calcul made lot littl algebra babi today,calcul made lot littl algebra babi today,neutral
might end like poor bu driver kinda weird wish today,poor bu driver,negative
happi mother day mom,happi mother day mom,positive
rain,rain,neutral
jerk go dammit frank suck bad,jerk,negative
good morn twitt anoth gloomi day nyc,good,positive
last day back work tomorrow,last day back work tomorrow,neutral
hey good see follow would nice photo,good,positive
time reissu album vinyl yesss would fab fab fab,fab fab fab,positive
_j jess post hawt pic board j u check,_j jess post hawt pic board j u check,neutral
bad newss,bad newss,negative
go watch brand new episod hill cant wait,go watch brand new episod hill cant wait,neutral
anytim ya gon na late,anytim ya gon na late,neutral
_hope,_hope,neutral
im go send twit folk,im go send twit folk,neutral
_diaz notic men kid store sat head church sing choir st nd servic,_diaz notic men kid store sat head church sing choir st nd servic,neutral
glad friday got work tire,glad friday got work tire,neutral
archetyp thing comm class studi archetyp popular media read link thank,archetyp thing comm class studi archetyp popular media read link thank,neutral
worri cousin son,worri,negative
watch big broth big quiz rather tiredd download dvd wait till finish till go bed,rather,negative
happi star war day may th,happi,positive
tweeeeeet good morn twitterland go work need keep pack clean flat move minu one day,good mo,positive
warm wet spent day carpet clean yacht,warm wet spent day carpet clean yacht,neutral
red blue,red blue,neutral
talk late,talk late,neutral
best get revis da weekend got exam monday hour,best get revis da weekend got exam monday hour,neutral
loic need build schedul let us post sleep,loic need build schedul let us post sleep,neutral
stu actual severli sunburnt hurt,hurt,negative
ahh everyon today take sunni weather except might go watch tv,ahh everyon today take sunni weather except might go watch tv,neutral
everyth fine,fine,positive
go garden centr today funn current drink egyptian spice tea watch hollyoak,funn,positive
nat twitter acct,nat twitter acct,neutral
feel guilti like revis stuff today haha,feel guilti,positive
day look better better betterrrrrrrr,day look better better betterrrrrrrr,positive
happi mother day,happi mother day,positive
monday morn let whip code today,monday morn let whip code today,neutral
ouch head hurt,hurt,negative
sad air school got two award,sad air school got two award,neutral
oh goodi doctor hooray iptv,oh goodi doctor hooray iptv,neutral
need moni school expens,expens,negative
realli got hang hash tag,realli got hang hash tag,neutral
dougi poynter repli,dougi poynter repli,neutral
mark twain quot spot cat bugger come crime handi time,handi time,positive
abl manag night babe lil one depend,abl manag night babe lil one depend,neutral
latharg definit need today rest sad bout havin call mental need,latharg definit need today rest sad bout havin call mental need,negative
long day head bed ilovey,ilovey,positive
make muffinsss wheat jerm aannndd psyillium husk,make muffinsss wheat jerm aannndd psyillium husk,neutral
crave coffe,crave coffe,neutral
tri figur use twitter,tri figur,positive
nana nana rock rhineston print onesi nana love,nana nana rock rhineston print onesi nana love,neutral
_ twitter rock,_ twitter rock,neutral
yeah sure,yeah sure,neutral
huggl see repli right away boss hover today feel pissi life,huggl see repli right away boss hover today feel pissi life,negative
head hurt bad,hurt,negative
bow tri sometim hard,sometim hard,negative
alway told keep suck someth like fruit gum,alway told keep suck someth like fruit gum,neutral
well inspir day room design today schedul head bed,well inspir day room design today schedul head bed,neutral
im go work,im go work,neutral
happi provid backup support murder rampag,happi,positive
get impati turnaround time repair broken arriv new espresso machin fb,get impati turnaround time repair broken arriv new espresso machin fb,negative
go woodland hill gna swim drink makin best good day yee,makin best good day,positive
hey tom happi enjoy brazil sad cuz goin see show,hey tom happi enjoy brazil sad cuz goin see show,neutral
good nite everybodi babi boy,good,positive
final finish emuls bathroom gloss work,final finish emuls bathroom gloss work,neutral
rye happi mother day mum ili mummi lol,happi,positive
oh miss truck could whole place move,miss,negative
tri watch lost onlin annoy slow internet lost,annoy slow,negative
